,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Greece,Greece,GPE,-0.12968538,0.48529867,en,203.50000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
Attica,Attica,GPE,-0.22690710,0.56943211,en,182.30000000,,6692632,A,37.92037000,23.90350000,EUROPE-AFRICA,Greece,MED
Crete,Crete,GPE,-0.06345450,0.34794921,en,71.70000000,4073791-3,6697802,A,35.15585000,24.89502000,EUROPE-AFRICA,Greece,MED
US,US,GPE,0.01758906,0.27862891,en,58.30000000,,0,,,,,,
Iran,Iran,GPE,0.07052939,0.24301087,en,48.20000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Indonesia,Indonesia,GPE,0.05989834,0.40977796,en,44.50000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Beaufort,Beaufort,GPE,0.05352425,0.39924080,en,44.50000000,4381459-1,2960809,P,49.83583000,6.29167000,EUROPE,Luxembourg,WCE
Japan,Japan,GPE,0.05377739,0.19112314,en,36.10000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Aegean,Aegean,GPE,0.00870724,0.36088023,en,34.00000000,,10922486,L,38.96622000,28.72059000,EUROPE-AFRICA,Turkey,MED
New York,New York,GPE,0.07411417,0.54627630,en,32.60000000,4042011-5,5128581,P,40.71427000,-74.00597000,NORTH-AMERICA,United States,ENA
Russia,Russia,GPE,-0.01848187,0.23476145,en,31.50000000,4076899-5,2017370,A,60.00000000,100.00000000,ASIA,Russia,ESB
Ioannina,Ioannina,GPE,0.00178180,0.26521382,en,30.40000000,4197925-4,261779,P,39.66341000,20.85187000,EUROPE-AFRICA,Greece,MED
Athens,Athens,GPE,-0.10150663,0.52349053,en,29.20000000,4003366-1,264371,P,37.98376000,23.72784000,EUROPE-AFRICA,Greece,MED
Cyprus,Cyprus,GPE,-0.04222020,0.42175481,en,26.60000000,4241756-9,146669,A,35.00000000,33.00000000,EUROPE-AFRICA,Cyprus,MED
Heraklion,Heraklion,GPE,-0.10050335,0.49505615,en,26.50000000,4027652-1,261745,P,35.32787000,25.14341000,EUROPE-AFRICA,Greece,MED
France,France,GPE,-0.03602065,0.46839080,en,26.10000000,4018145-5,3017382,A,46.00000000,2.00000000,EUROPE,France,WCE
Turkey,Turkey,GPE,0.09000965,0.31990026,en,25.90000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Italy,Italy,GPE,-0.09343700,0.45472269,en,24.90000000,4027833-5,3175395,A,42.83333000,12.83333000,EUROPE-AFRICA,Italy,MED
the Middle East,the Middle East,LOC,0.03224353,0.24935772,en,18.80000000,,12217091,L,35.80000000,-86.50000000,NORTH-AMERICA,United States,ENA
Patras,Patras,GPE,-0.03405018,0.35558542,en,18.60000000,4115867-2,255683,P,38.24620000,21.73508000,EUROPE-AFRICA,Greece,MED
Thesprotia,Thesprotia,GPE,0.07402656,0.26056940,en,18.60000000,4119588-7,252941,A,39.50000000,20.33333000,EUROPE-AFRICA,Greece,MED
Ukraine,Ukraine,GPE,-0.10780632,0.40456467,en,18.40000000,4061496-7,690791,A,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Australia,Australia,GPE,-0.00428036,0.40155163,en,17.80000000,4003900-6,2077456,A,-25.00000000,135.00000000,OCEANIA,Australia,CAU
Spain,Spain,GPE,-0.16056911,0.49575106,en,16.40000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
India,India,GPE,-0.06487730,0.53420245,en,16.30000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
Thessaloniki,Thessaloniki,GPE,-0.07229704,0.33394126,en,16.20000000,4051394-4,734077,P,40.64361000,22.93086000,EUROPE-AFRICA,Greece,MED
Kefalonia,Kefalonia,GPE,-0.07812500,0.12291667,en,16.00000000,4030124-2,6299491,S,38.12007000,20.50048000,EUROPE-AFRICA,Griechenland,MED
Tehran,Tehran,GPE,0.09643904,0.32507331,en,15.50000000,4059304-6,112931,P,35.69439000,51.42151000,ASIA,Iran,WCA
Chios,Chios,GPE,-0.02540107,0.39390638,en,15.30000000,4009976-3,259972,T,38.41102000,26.06161000,EUROPE-AFRICA,Greece,MED
Ionia,Ionia,GPE,-0.05208416,0.28001977,en,15.20000000,,6697805,A,37.79299000,20.78305000,EUROPE-AFRICA,Greece,MED
