,phrase,label,sentiment,subjectivity,language,count
Schlechtes Wetter Adel,Schlechtes Wetter Adel,MISC,,,de,10.000000000000002
“,“,MISC,,,de,6.8
Neujahrstag,Neujahrstag,MISC,,,de,1.9
Das Jahr 2026,Das Jahr 2026,MISC,,,de,1.7
Google,Google,MISC,0.0,0.0,de,1.2
Ein Blitz,Ein Blitz,MISC,,,de,1.0
Verstoß,Verstoß,MISC,,,de,1.0
Wetter morgen,Wetter morgen,MISC,,,de,1.0
NewsIT,NewsIT,MISC,,,de,1.0
Erdbeben...,Erdbeben...,MISC,,,de,1.0
Freitagnachmittag,Freitagnachmittag,MISC,,,de,1.0
Meteo-Karte,Meteo-Karte,MISC,,,de,1.0
Weihnachtstag,Weihnachtstag,MISC,,,de,1.0
griechische,griechische,MISC,,,de,1.0
Erdbeben,Erdbeben,MISC,0.0,0.0,de,1.0
Griechen im Jahr 2025,Griechen im Jahr 2025,MISC,,,de,1.0
Googles Jahr der Suche 2025,Googles Jahr der Suche 2025,MISC,,,de,1.0
Weihnachten,Weihnachten,MISC,,,de,1.0
Der Sturm,Der Sturm,MISC,,,de,1.0
Aspropyrgos-Verkehrsknotenpunkt,Aspropyrgos-Verkehrsknotenpunkt,MISC,,,de,1.0
"<a title=""Wetter","<a title=""Wetter",MISC,,,de,1.0
Unwetterschaden,Unwetterschaden,MISC,,,de,1.0
M...,M...,MISC,,,de,1.0
Operation zur Suche nach den drei vermissten Bergsteigern,Operation zur Suche nach den drei vermissten Bergsteigern,MISC,,,de,1.0
Neues Jahr,Neues Jahr,MISC,,,de,1.0
C,C,MISC,,,de,1.0
Tag von ...,Tag von ...,MISC,,,de,1.0
"Starke Winde, Regen","Starke Winde, Regen",MISC,,,de,1.0
Tiefdruck,Tiefdruck,MISC,,,de,1.0
Tag des neuen Jahres,Tag des neuen Jahres,MISC,,,de,1.0
°C,°C,MISC,,,de,1.0
Erdbeben jetzt“,Erdbeben jetzt“,MISC,0.0,0.0,de,1.0
Byron“,Byron“,MISC,,,de,1.0
Schlechtes Wetter,Schlechtes Wetter,MISC,,,de,1.0
Griechen,Griechen,MISC,,,de,1.0
Schlechtes Wetter |,Schlechtes Wetter |,MISC,,,de,1.0
Der Hauch der Niederlage,Der Hauch der Niederlage,MISC,,,de,1.0
Biblische Katastrophe,Biblische Katastrophe,MISC,,,de,1.0
“ Korfu,“ Korfu,MISC,,,de,1.0
Vormarsch des schlechten Wetters,Vormarsch des schlechten Wetters,MISC,,,de,1.0
Roter Code“,Roter Code“,MISC,,,de,1.0
schlechten Wetters,schlechten Wetters,MISC,,,de,1.0
Ein Tornado,Ein Tornado,MISC,,,de,1.0
Sturm,Sturm,MISC,0.0,0.0,de,1.0
Die Straße,Die Straße,MISC,,,de,1.0
Die Straße am Elektrizitätswerk,Die Straße am Elektrizitätswerk,MISC,,,de,1.0
Videos,Videos,MISC,,,de,1.0
…,…,MISC,0.4117647058823529,0.0,de,1.0
Starke Regenfälle und Stürme,Starke Regenfälle und Stürme,MISC,,,de,1.0
K...,K...,MISC,,,de,1.0
Lesbos,Lesbos,MISC,,,de,1.0
Video,Video,MISC,,,de,1.0
Starker Wind,Starker Wind,MISC,,,de,1.0
Adel“,Adel“,MISC,,,de,1.0
Schlechtes Wetter Adel Attika,Schlechtes Wetter Adel Attika,MISC,,,de,1.0
Regenfälle,Regenfälle,MISC,0.7,0.0,de,1.0
Alarmstufe Rot,Alarmstufe Rot,MISC,,,de,1.0
Central Make...,Central Make...,MISC,,,de,1.0
Schlechtes Wetter Byron,Schlechtes Wetter Byron,MISC,,,de,1.0
Alarmstufe Rot“,Alarmstufe Rot“,MISC,,,de,1.0
Das schlechte Wetter,Das schlechte Wetter,MISC,,,de,1.0
Rote Warnung,Rote Warnung,MISC,,,de,1.0
