,phrase,label,sentiment,subjectivity,language,count
Vassilis Spanakis,Vassilis Spanakis,PER,0.0,0.0,de,1
Unwetter Adel,Unwetter Adel,PER,0.7,0.0,de,1
Umgestürzte Bäume,Umgestürzte Bäume,PER,-1.0,0.0,de,1
Giorgos Tsatrafillias,Giorgos Tsatrafillias,PER,-0.7,0.0,de,1
Googles Jahresrückblick,Googles Jahresrückblick,PER,0.7,0.0,de,1
Kefalogiannis einberufenes,Kefalogiannis einberufenes,PER,0.7,0.0,de,1
Attiki Odos,Attiki Odos,PER,0.0,0.0,de,1
Athanasios Diakos,Athanasios Diakos,PER,0.0,1.0,de,1
Konstantinos Mastrokostopoulos,Konstantinos Mastrokostopoulos,PER,0.0,1.0,de,1
Grad Celsius,Grad Celsius,PER,0.0,0.0,de,1
